"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"credor";"caracteristica_peculiar";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade";"empenhado";"liquidado";"pago"
"78";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.45.00.00.000";"0001";"0000";"0202000001203";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1462,5;1462,5;1462,5
"79";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.45.00.00.000";"0001";"0000";"0202000001783";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";159,34;159,34;159,34
"80";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.45.00.00.000";"0001";"0000";"0202000005080";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1462,5;1462,5;1462,5
"81";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.45.00.00.000";"0001";"0000";"0202000005620";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";2250;2250;2250
"82";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.45.00.00.000";"0001";"0000";"0202000006355";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";318,61;318,61;318,61
"83";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000000539";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";24637,5;24637,5;24637,5
"84";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000001202";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"85";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000001850";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"86";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000002247";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"87";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000002780";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
